,Age,EdLevel,YearsExp,YearsProExp,PreviousSalary,NumSkills,Employed
13824,0,3,12,6,32316,15,1
13825,0,1,5,3,12000,10,0
13826,0,3,10,4,10000,17,1
13827,1,3,25,23,46704,7,0
13828,1,3,12,8,48644,19,1
13829,0,4,3,1,14256,13,0
13831,1,4,24,20,84024,21,1
13832,0,3,10,0,40000,12,1
13833,0,3,6,3,120000,11,0
13834,0,2,15,7,38916,17,1
13836,1,5,10,4,34900,11,0
13837,0,3,5,4,7116,9,0
13838,0,2,17,15,36819,18,1
13839,0,3,5,3,10680,20,1
13840,1,4,15,7,29196,19,1
13841,0,1,12,10,120000,14,0
13842,0,3,8,8,10140,6,0
13843,0,3,9,3,22339,14,0
